# category	severity	literal candidate	replacement hint (TSV)
# Matches are advisory. Code, quotes, and technical terms are protected by the scanner.
register	contextual	state-of-the-art	name the version or measure
register	contextual	best-in-class	name the comparison
register	contextual	unlock the potential	state the capability
register	contextual	unleash	state the action
register	contextual	democratize	name who gains access
register	contextual	supercharge	improve or measure
register	contextual	harness	use
register	contextual	foster	help or create
register	contextual	empower	enable or give control
register	contextual	elevate	raise or improve
register	contextual	bolster	support
register	contextual	showcase	show
register	contextual	navigate	examine or move through
register	contextual	streamline	remove steps or state the path
register	contextual	enhance	improve or name the change
register	contextual	validate	check
register	contextual	validates	checks
register	contextual	validated	checked
register	contextual	validating	checking
register	contextual	validation	check
register	contextual	validations	checks
register	contextual	verify	check or prove
register	contextual	verifies	checks or proves
register	contextual	verified	checked or proven
register	contextual	verifying	checking or proving
register	contextual	verification	check or proof
register	contextual	implement	add, build, or name the change
register	contextual	implements	adds, builds, or names the change
register	contextual	implemented	added, built, or changed
register	contextual	implementing	adding, building, or changing
register	contextual	execute	run
register	contextual	execution	run
register	contextual	perform	do or run
register	contextual	performs	does or runs
register	contextual	performed	did or ran
register	contextual	performing	doing or running
register	contextual	ensure	make sure or name the guarantee
register	contextual	ensures	makes sure or names the guarantee
register	contextual	ensured	made sure or named the guarantee
register	contextual	ensuring	making sure or naming the guarantee
register	contextual	determine	find or name the rule
register	contextual	determines	finds or names the rule
register	contextual	determined	found or named the rule
register	contextual	determining	finding or naming the rule
register	contextual	optimize	improve, tune, or name the measure
register	contextual	optimizes	improves, tunes, or names the measure
register	contextual	optimized	improved, tuned, or measured
register	contextual	optimizing	improving, tuning, or measuring
register	contextual	initialize	init or set up
register	contextual	initializes	inits or sets up
register	contextual	initialized	started or set up
register	contextual	initializing	starting or setting up
process	hard	as requested	state the finished result
process	hard	per review feedback	state the finished result
process	hard	now also handles	state the behavior
process	hard	the user asked	state the requirement
process	hard	in this pass	state the change
process	contextual	the next step is	state the action
process	contextual	as mentioned above	name the reference
process	contextual	feel free to reach out	state the owner
process	contextual	i may be biased	state the evidence
process	contextual	to be honest	state the claim
process	contextual	this is not a rant	state the claim
process	contextual	great suggestion	state the judgment
process	contextual	solid step in the right direction	state the evidence
format	structural	phase 1	name the topic
format	structural	phase 2	name the topic
format	structural	phase 3	name the topic
format	structural	stage 1	name the topic
format	structural	stage 2	name the topic
format	structural	step 1	name the topic
format	structural	step 2	name the topic
format	structural	first takeaway	name the point
format	structural	second takeaway	name the point
format	structural	third takeaway	name the point
metaphor	contextual	rich tapestry	name the relation
metaphor	contextual	intricate interplay	name the relation
metaphor	contextual	delicate balance	name the constraint
metaphor	contextual	double-edged sword	name both effects
metaphor	contextual	tip of the iceberg	name the unseen scope
metaphor	contextual	perfect storm	name the causes
metaphor	contextual	game changer	name the result
metaphor	contextual	paradigm shift	name the model change
metaphor	contextual	tipping point	name the threshold
metaphor	contextual	at the forefront	name the position
metaphor	contextual	sets the stage	state the precondition
metaphor	contextual	moves the needle	name the measure
metaphor	contextual	at the intersection of	name the relation
metaphor	contextual	smoking gun	name the evidence
metaphor	contextual	bridge the gap	name the missing link
metaphor	contextual	journey	name the sequence
metaphor	contextual	journey from	name the sequence
